Brand,Variety,Harga,Toko,Metode_Temuan
Mi Sedaap,Instant Cup Mi Goreng,Rp 6.400,Shopee,Spesifik (Satuan)
Salam Mie,Mi Goreng Dengan Abon,,,Not Found
Tropicana Slim,Less Fat Noodles Grilled Chicken,Rp 37.316,tokopedia.com,Backup Brand (Satuan)
Salam Mie,Mi Goreng Ala Jawa Dengan Sambal Cabe Asli,Rp 2.499,Shopee,Spesifik (Satuan)
Indomie,Pop Mie Chicken Flavour Cup Noodles,Rp 9.600,Shopee,Spesifik (Satuan)
La Fonte,Spaghetti With Mushroom Sauce,Rp 9.200,Shopee,Spesifik (Satuan)
Pop Bihun,Spesial Rasa Kari Ayam Pedas,Rp 9.450,Shopee,Spesifik (Satuan)
Indomie,Mi Goreng Rasa Iga Penyet,Rp 4.000,tokopedia.com,Spesifik (Satuan)
Indomie,Taste Of Asia Mi Goreng Rasa Bulgogi Ala Korea,,,Not Found
Indomie,Taste Of Asia Mi Kuah Rasa Tom Yum Ala Thailand,Rp 5.390,Blibli,Spesifik (Satuan)
Healtimie,Green Barley Noodle Vegetable Soup,,,Not Found
Pop Bihun,Spesial Rasa Soto Ayam,Rp 3.100,Lazada Indonesia,Spesifik (Satuan)
GaGa,Mie Gepeng Kuah Rasa Ayam Lada Hitam,Rp 3.900,Shopee,Spesifik (Satuan)
ABC,Mi Cup Rasa Soto Ayam Chicken Soto Flavour,Rp 2.900,Shopee,Spesifik (Satuan)
ABC,Selera Pedas Mi Goreng Cup Rasa Gulai Ayam Pedas Hot Gulai Chicken,Rp 3.600,tokopedia.com,Spesifik (Satuan)
ABC,Rasa Ayam Bawang Chicken Onion Flavour,Rp 2.750,Shopee,Spesifik (Satuan)
ABC,Selera Pedas Mi Goreng Cup Rasa Ayam Pedas Limau Hot Chicken Lemon Flavour,Rp 4.000,Shopee,Spesifik (Satuan)
ABC,Mi Cup Rasa Kari Ayam Chicken Curry Flavour,Rp 8.400,Shopee,Spesifik (Satuan)
Eat & Go,Rasa Baso Sapi Meat Ball Mi Instan Cup,Rp 7.000,Lazada Indonesia,Backup Brand (Satuan)
ABC,Mi Goreng Pangsit Fried Noodle With Dumpling,Rp 8.125,Lazada Indonesia,Backup Brand (Satuan)
Eat & Go,Chicken Onion Mi Instan Cup,Rp 7.000,Lazada Indonesia,Backup Brand (Satuan)
President,Mi Goreng Rasa Ayam Chicken Flavoured Fried Noodle,Rp 2.000,Shopee,Backup Brand (Satuan)
ABC,Mi Goreng Spesial Special Fried Noodle,Rp 8.125,Lazada Indonesia,Backup Brand (Satuan)
Eat & Go,Curry Chicken Mi Instan Cup,Rp 7.000,Lazada Indonesia,Backup Brand (Satuan)
SuperMi,Rasa Ayam Spesial,Rp 2.900,Blibli,Spesifik (Satuan)
GaGa,Mie Gepeng Kuah Rasa Ayam Bawang Pedas,Rp 3.749,tokopedia.com,Spesifik (Satuan)
ABC,Selera Pedas Hot Semur Chicken Flavour,Rp 3.075,Tokopedia,Spesifik (Satuan)
GaGa,Mi Instan Cup Milk Chicken Soup,Rp 4.000,shopee.co.id,Backup Brand (Satuan)
Eat & Go,Rendang Beef Flavour Fried Instant Noodle,Rp 7.000,Lazada Indonesia,Backup Brand (Satuan)
GaGa,Mie Gepeng Kuah Rasa Soto Cabe Hijau,Rp 2.900,Borma Dago,Spesifik (Satuan)
GaGa,Seribu 1000 Goreng Spesial,Rp 1.715,Shopee,Spesifik (Satuan)
ABC,Mi ABC Rasa Ayam Bawang (Onion Chicken),Rp 3.150,Blibli,Spesifik (Satuan)
Healtimie,Green Barley Noodle Milk Chicken Soup,,,Not Found
Pop Bihun,Spesial Goreng Special,,,Not Found
GaGa,100 Green Chilli Soto Flavour,Rp 4.000,shopee.co.id,Backup Brand (Satuan)
Indomie,Instant Noodle Beef & Lime Flavour,,,Not Found
GaGa,Mie Jepeng Goreng Rasa Ayam Lada Hitam,Rp 2.900,Borma Dago,Spesifik (Satuan)
ABC,Selera Pedas Mi Rebus Hot Gulai Flavor,Rp 8.125,Lazada Indonesia,Backup Brand (Satuan)
Maitri,Vegetarian Fried Noodles (Mie Goreng),Rp 34.200,Tokopedia,Spesifik (Satuan)
La Fonte,Spaghetti With Bolognese Sauce,Rp 15.000,tokopedia.com,Spesifik (Satuan)
Eat & Go,Spicy Chicken Mi Instan Cup,Rp 7.000,Lazada Indonesia,Backup Brand (Satuan)
Tropicana Slim,Low Fat Noodles Hainan Chicken,Rp 37.316,tokopedia.com,Backup Brand (Satuan)
Indomie,Mi Goreng Cabe Ijo,Rp 3.200,Borma Dago,Spesifik (Satuan)
Indomie,Kriuuk Bawang,Rp 5.150,tokopedia.com,Spesifik (Satuan)
Sarimi,Rasa Ayam Bawang,Rp 3.100,Blibli,Spesifik (Satuan)
SuperMi,Sedaaap Mi Goreng,Rp 3.999,Lazada Indonesia,Spesifik (Satuan)
ABC,Selera Pedas Hot Tomato Soup Flavor,Rp 3.900,Shopee,Spesifik (Satuan)
SuperMi,GoBang,Rp 5.000,Shopee,Backup Brand (Satuan)
Sarimi,Soto Koya Pedasss,,,Not Found
SuperMi,Mi Keriting Rasa Ayam Bawang,Rp 5.000,Shopee,Backup Brand (Satuan)
Indomie,Rasa Coto Makassar,Rp 4.200,Tokopedia,Spesifik (Satuan)
Indomie,Special Fried Curly Noodle (Local),Rp 8.500,Shopee,Spesifik (Satuan)
Indomie,Rasa Mi Cakalang,Rp 5.700,shopee.co.id,Spesifik (Satuan)
SuperMi,Sedaaap Mi Kuah Rasa Kari Ayam,Rp 5.000,Shopee,Backup Brand (Satuan)
Sarimi,Soto Koya Gurih,,,Not Found
Indomie,Mi Goreng Kriuuk Pedas,Rp 5.200,shopee.co.id,Spesifik (Satuan)
SuperMi,Sedaaap Mi Kuah Rasa Soto,Rp 3.900,Shopee,Spesifik (Satuan)
Indomie,Beef,,,Not Found
ABC,Selera Pedas Mi Goreng Hot Chicken Lemon,Rp 8.125,Lazada Indonesia,Backup Brand (Satuan)
SuperMi,Super Rasa Ayam Bawang,Rp 3.100,Sayurbox,Spesifik (Satuan)
Sarimi,Isi 2 Mi Goreng Rasa Ayam Kecap,Rp 4.600,Blibli,Spesifik (Satuan)
Sarimi,Soto Koya Jeruk Nipis,Rp 3.895,Shopee,Spesifik (Satuan)
SuperMi,GoKar,Rp 5.000,Shopee,Backup Brand (Satuan)
Sarimi,Isi 2 Rasa Soto,Rp 3.600,Toko Citra Utama,Spesifik (Satuan)
Indomie,Mi Goreng Kriuuk Ayam,Rp 4.799,tokopedia.com,Spesifik (Satuan)
Sarimi,Isi 2 Rasa Kari spesial,Rp 4.800,Shopee,
Indomie,Rasa Sup Sayuran Vegan,,,Not Found
Mi Sedaap,Mi Kuah Rasa Ayam Bawang,,,Not Found
Super Bihun,Kuah Rice Noodles,Rp 7.900,Shopee,Spesifik (Satuan)
Indomie,Mi Goreng Vegan,,,Not Found
Indomie,Mi Goreng Sate (Local),Rp 4.500,Lazada Indonesia,Spesifik (Satuan)
Indomie,Mi Goreng Rasa Ayam Panggang Jumbo (Local),Rp 5.500,tokopedia.com,Spesifik (Satuan)
Indomie,Rasa Soto Betawi,Rp 3.950,Shopee,
Indomie,Curly Noodle With Chicken Chilli Paddi,,,Not Found
Indomie,Rasa Mi Kocok Bandung,Rp 3.300,Shopee,Spesifik (Satuan)
Indomie,Rasa Soto Banjar Limau Kulit,Rp 4.520,tokopedia.com,Spesifik (Satuan)
Indomie,Mi Goreng Jumbo Beef,,,Not Found
Indomie,Rasa Kari Ayam Medan,Rp 8.990,tokopedia.com,Spesifik (Satuan)
Indomie,Rasa Empal Gentong,Rp 4.950,Blibli,Spesifik (Satuan)
Indomie,Mi Goreng Cakalang,Rp 3.900,Shopee,Spesifik (Satuan)
Indomie,Mi Goreng Instant Cup Noodles,Rp 7.909,Shopee,Spesifik (Satuan)
Indomie,Curly Noodle With Laksa Chilli,,,Not Found
Indomie,Mi Goreng Barbecue Chicken,Rp 4.900,shopee.co.id,Spesifik (Satuan)
Indomie,Mi Goreng Rendang (Import),Rp 3.350,Shopee,Not Found
Mi Sedaap,Mi Segera Mi Goreng Perisa Sambal Goreng,Rp 3.500,Blibli,Spesifik (Satuan)
Indomie,Rasa Sup Buntut Oxtail Soup,,,Not Found
Indomie,Instant Cup Noodles Mi Goreng Satay,Rp 4.000,Lazada Indonesia,Spesifik (Satuan)
Indomie,Spicy Coconut Shrimp,,,Not Found
Cap Atoom Bulan,Mie Telor Asli,Rp 6.500,Blibli,Spesifik (Satuan)
Mi Sedaap,Mi Segera Mi Sup Perisa Kari Ayam,,,Not Found
Mi Sedaap,Mi Goreng Perisa Asli,Rp 3.000,shopee.co.id,Spesifik (Satuan)
Super Bihun,Kuah Rasa Baso Sapi Rice Noodles,Rp 6.669,Shopee,Spesifik (Satuan)
Mi Sedaap,Supreme Soto,,,Not Found
Mi Sedaap,Mi SupArtificial Chicken Special,,,Not Found
Mi Sedaap,Mie Sambal Goreng,Rp 2.750,eBelanja.id,Spesifik (Satuan)
Mi Sedaap,Kari Spesial,Rp 3.200,tokoelmanna.com,Spesifik (Satuan)
Super Bihun,Goreng Rice Noodles,Rp 7.700,Lazada Indonesia,Spesifik (Satuan)
Indomie,Mi Goreng Jumbo Beef,,,Not Found
Indomie,Onion Chicken,Rp 3.575,tokopedia.com,Spesifik (Satuan)
Indomie,Special Fried Curly Noodle,Rp 8.500,Shopee,Spesifik (Satuan)
Indomie,Soto Mie,Rp 3.100,Borma Dago,
Indomie,Meatball Flavor,,,Not Found
Indomie,Mi Goreng Rendang,Rp 4.500,Tokopedia,
Indomie,Chicken,Rp 6.350,Shopee,Spesifik (Satuan)
Indomie,Chicken Curry,Rp 3.675,tokopedia.com,Spesifik (Satuan)
Indomie,Curly Noodles With Grilled Chicken,,,Not Found
Indomie,Mi Goreng,Rp 3.500,Blibli,Spesifik (Satuan)
Indomie,Mi Goreng Pedas Hot,Rp 4.500,Lazada Indonesia,Spesifik (Satuan)
Indomie,Shrimp Flavor,,,Not Found
Indomie,Mi Goreng Jumbo Barbecue Chicken,Rp 6.888,Blibli,Spesifik (Satuan)
Indomie,Mi Goreng Jumbo Meatball,Rp 6.800,Blibli,Spesifik (Satuan)
Indomie,Mi Goreng Sate,Rp 4.500,Lazada Indonesia,Spesifik (Satuan)
Indomie,Special Chicken,Rp 5.925,Tokopedia,Spesifik (Satuan)
